	BELÉM;	BRASÍLIA;	CAMPINAS;	CUIABÁ;	CURITIBA;	FLORIANÓPOLIS;	FORTALEZA;	MACEIÓ;	MANAUS;	NATAL;	SALVADOR
BELÉM;2120;2140;2941;3193;3500;1610;2173;5298;2108;2100;
BRASÍLIA;2140;0921;1133;1366;1673;2200;1930;3490;2422;1446;
CAMPINAS;2842;0921;1523;0476;0773;3133;2458;3880;2952;1982;
CUIABÁ;	2941;1133;1523;1679;1986;3406;3049;2357;3543;2566;
CURITIBA;3193;1366;0476;1679;0300;3541;2871;4036;3365;2385;
FLORIANÓPOLIS;3500;1673;0773;1986;0300;3838;3168;4443;3662;2682;
FORTALEZA;1611;2208;3133;3406;3541;3838;1075;5763;0537;1389;
MACEIÓ;2173;1928;2458;3049;2871;3168;1075;5491;0572;632;
MANAUS;5298;3490;3880;2357;4036;4343;5763;5491;5985;5009;
NATAL;2108;2422;2952;3543;3365;3662;0537;0572;5985;1126;
SALVADOR;2100;1446;1982;2567;2385;2682;1389;0632;5009;1126;	
