Campo Grande;Cuiaba;Curitiba;Florianopolis;Fortaleza;Goiania;Joao Pessoa;Maceio;Manaus;Natal
Campo Grande;0;694;991;1298;3407;935;3357;3040;3051;3534
Cuiaba;694;0;1679;1986;3406;934;3366;3049;2357;3543
Curitiba;991;1679;0;300;3541;1186;3188;2871;4036;3365
Florianopolis;1298;1986;300;0;3838;1493;3485;3168;4443;3662
Fortaleza;3407;3406;3541;3838;0;2482;688;1075;5763;537
Goiania;935;934;1186;1493;2482;0;2442;2125;3291;2618
Joao Pessoa;3357;3366;3188;3485;688;2442;0;395;5808;185
Maceio;3040;3049;2871;3168;1075;2105;395;0;5491;572
Manaus;3051;2357;4036;4343;5763;3291;5808;5491;0;5985
Natal;3537;3543;3365;3662;537;2619;185;572;5985;0
